0.243	3.18E-02
0.244	4.74E-02
0.245	4.74E-02
0.246	4.74E-02
0.247	3.18E-02
0.248	3.18E-02
0.249	1.61E-02
0.25	1.61E-02
0.251	1.61E-02
0.252	1.61E-02
0.253	5.00E-04
0.254	1.61E-02
0.255	-1.51E-02
0.256	-3.08E-02
0.257	-4.64E-02
0.258	-3.08E-02
0.259	-4.64E-02
0.26	-3.08E-02
0.261	-4.64E-02
0.262	-4.64E-02
0.263	-4.64E-02
0.264	-4.64E-02
0.265	-6.20E-02
0.266	-7.76E-02
0.267	-7.76E-02
0.268	-9.33E-02
0.269	-1.09E-01
0.27	-9.33E-02
0.271	-1.25E-01
0.272	-1.25E-01
0.273	-1.25E-01
0.274	-1.09E-01
0.275	-9.33E-02
0.276	-9.33E-02
0.277	-9.33E-02
0.278	-6.20E-02
0.279	-6.20E-02
0.28	-4.64E-02
0.281	-3.08E-02
0.282	5.00E-04
0.283	1.61E-02
0.284	3.18E-02
0.285	4.74E-02
0.286	7.86E-02
0.287	1.10E-01
0.288	1.10E-01
0.289	1.41E-01
0.29	1.41E-01
0.291	1.41E-01
0.292	1.26E-01
0.293	1.10E-01
0.294	6.30E-02
0.295	4.74E-02
0.296	4.74E-02
0.297	5.00E-04
0.298	-1.51E-02
0.299	-3.08E-02
0.3	-4.64E-02
0.301	-4.64E-02
0.302	-4.64E-02
0.303	-4.64E-02
0.304	-6.20E-02
0.305	-7.76E-02
0.306	-6.20E-02
0.307	-4.64E-02
0.308	-4.64E-02
0.309	-6.20E-02
0.31	-4.64E-02
0.311	-4.64E-02
0.312	-4.64E-02
0.313	-4.64E-02
0.314	-4.64E-02
0.315	-4.64E-02
0.316	-3.08E-02
0.317	-3.08E-02
0.318	-3.08E-02
0.319	-3.08E-02
0.32	-3.08E-02
0.321	5.00E-04
0.322	3.18E-02
0.323	3.18E-02
0.324	4.74E-02
0.325	4.74E-02
0.326	6.30E-02
0.327	6.30E-02
0.328	7.86E-02
0.329	7.86E-02
0.33	7.86E-02
0.331	7.86E-02
0.332	9.43E-02
0.333	6.30E-02
0.334	7.86E-02
0.335	7.86E-02
0.336	9.43E-02
0.337	6.30E-02
0.338	4.74E-02
0.339	4.74E-02
0.34	4.74E-02
0.341	4.74E-02
0.342	3.18E-02
0.343	1.61E-02
0.344	3.18E-02
0.345	4.74E-02
0.346	3.18E-02
0.347	3.18E-02
0.348	5.00E-04
0.349	5.00E-04
0.35	1.61E-02
0.351	3.18E-02
0.352	3.18E-02
0.353	3.18E-02
0.354	4.74E-02
0.355	4.74E-02
0.356	4.74E-02
0.357	3.18E-02
0.358	4.74E-02
0.359	1.61E-02
0.36	5.00E-04
0.361	5.00E-04
0.362	-7.76E-02
0.363	-9.33E-02
0.364	-1.09E-01
0.365	-1.25E-01
0.366	-1.40E-01
0.367	-1.87E-01
0.368	-1.56E-01
0.369	-1.56E-01
0.37	-1.71E-01
0.371	-1.56E-01
0.372	-1.56E-01
0.373	-1.25E-01
0.374	-1.09E-01
0.375	-9.33E-02
0.376	-1.09E-01
0.377	-1.09E-01
0.378	-9.33E-02
0.379	-6.20E-02
0.38	-6.20E-02
0.381	-1.51E-02
0.382	-1.51E-02
0.383	3.18E-02
0.384	4.74E-02
0.385	6.30E-02
0.386	7.86E-02
0.387	9.43E-02
0.388	1.10E-01
0.389	1.10E-01
0.39	1.10E-01
0.391	9.43E-02
0.392	7.86E-02
0.393	7.86E-02
0.394	7.86E-02
0.395	6.30E-02
0.396	4.74E-02
0.397	3.18E-02
0.398	3.18E-02
0.399	3.18E-02
0.4	3.18E-02
0.401	3.18E-02
0.402	4.74E-02
0.403	6.30E-02
0.404	7.86E-02
0.405	9.43E-02
0.406	1.26E-01
0.407	1.57E-01
0.408	1.72E-01
0.409	1.72E-01
0.41	1.88E-01
0.411	1.88E-01
0.412	1.88E-01
0.413	1.72E-01
0.414	1.10E-01
0.415	9.43E-02
0.416	1.61E-02
0.417	5.00E-04
0.418	-4.64E-02
0.419	-1.09E-01
0.42	-1.25E-01
0.421	-1.56E-01
0.422	-1.87E-01
0.423	-2.18E-01
0.424	-2.81E-01
0.425	-2.81E-01
0.426	-3.12E-01
0.427	-3.12E-01
0.428	-2.96E-01
0.429	-2.81E-01
0.43	-2.50E-01
0.431	-2.03E-01
0.432	-1.71E-01
0.433	-1.25E-01
0.434	-9.33E-02
0.435	-1.51E-02
0.436	5.00E-04
0.437	4.74E-02
0.438	9.43E-02
0.439	1.10E-01
0.44	1.72E-01
0.441	1.72E-01
0.442	1.88E-01
0.443	2.04E-01
0.444	1.41E-01
0.445	7.86E-02
0.446	-3.08E-02
0.447	-2.96E-01
0.448	1.88E-01
0.449	6.88E-01
0.45	7.04E-01
0.451	6.41E-01
0.452	4.07E-01
0.453	2.51E-01
0.454	1.61E-02
0.455	-1.56E-01
0.456	-2.03E-01
0.457	-2.34E-01
0.458	-2.34E-01
0.459	-2.34E-01
0.46	-2.34E-01
0.461	-2.03E-01
0.462	-2.03E-01
0.463	-1.87E-01
0.464	-1.87E-01
0.465	-1.71E-01
0.466	-1.56E-01
0.467	-1.71E-01
0.468	-1.56E-01
0.469	-1.56E-01
0.47	-1.40E-01
0.471	-1.40E-01
0.472	-1.25E-01
0.473	-9.33E-02
0.474	-6.20E-02
0.475	1.61E-02
0.476	9.43E-02
0.477	1.26E-01
0.478	1.72E-01
0.479	2.19E-01
0.48	2.35E-01
0.481	2.51E-01
0.482	2.35E-01
0.483	2.35E-01
0.484	2.04E-01
0.485	1.72E-01
0.486	1.41E-01
0.487	9.43E-02
0.488	9.43E-02
0.489	4.74E-02
0.49	1.61E-02
0.491	5.00E-04
0.492	-1.51E-02
0.493	1.61E-02
0.494	3.18E-02
0.495	4.74E-02
0.496	6.30E-02
0.497	6.30E-02
0.498	7.86E-02
